number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio
0.875,0.8749777223311352,0.9069069069069068,0.8334494773519164,0.34035087719298246,0.8952380952380953,0.9532019704433498,0.3601532567049808,0.7367105263157895,0.3577376276512175,0.9399141630901287,0.191,0.8469565217391305,0.8793103448275864
0.875,0.8749777223311352,0.8228228228228227,0.8773519163763066,0.2771929824561403,0.8952380952380953,0.9113300492610837,0.20306513409961688,0.8532017543859649,0.3577376276512175,0.8369098712446351,0.0835,0.8469565217391305,0.8793103448275864
0.875,0.8749777223311352,0.8468468468468467,0.864808362369338,0.23508771929824562,0.8984126984126984,0.9211822660098522,0.23371647509578547,0.8311622807017544,0.3577376276512175,0.8540772532188841,0.093,0.8469565217391305,0.8793103448275864
0.875,0.8749777223311352,0.8768768768768768,0.8480836236933799,0.23508771929824562,0.8952380952380953,0.916256157635468,0.23371647509578547,0.8266447368421053,0.3577376276512175,0.8583690987124464,0.099,0.8469565217391305,0.8793103448275864
0.875,0.8749777223311352,0.8948948948948948,0.8390243902439024,1.0,0.8571428571428571,0.8694581280788177,0.19157088122605362,0.8321491228070175,0.3577376276512175,0.9871244635193132,0.177,0.48869565217391314,0.8793103448275864
0.875,0.8749777223311352,0.8768768768768768,0.8480836236933799,0.26666666666666666,0.8698412698412699,0.9261083743842364,0.3333333333333333,0.7412280701754386,0.3577376276512175,0.9484978540772532,0.1445,0.9304347826086958,0.8793103448275864
0.875,0.8749777223311352,0.8048048048048047,0.8871080139372822,0.28421052631578947,0.834920634920635,0.8694581280788177,0.23371647509578547,0.8399122807017544,0.4462686567164179,0.9227467811158797,0.119,0.9304347826086958,0.8793103448275864
0.875,0.8749777223311352,0.9069069069069068,0.8334494773519164,0.2771929824561403,0.8857142857142857,0.9482758620689655,0.3601532567049808,0.7324561403508771,0.3577376276512175,0.9527896995708155,0.1595,0.9304347826086958,0.8793103448275864
0.875,0.8749777223311352,0.8888888888888888,0.843205574912892,0.2736842105263158,0.8793650793650793,0.9285714285714286,0.31034482758620696,0.7630263157894737,0.3577376276512175,0.9184549356223176,0.134,0.5756521739130436,0.8793103448275864
1.0,1.0,0.8708708708708708,0.9881533101045297,0.4807017543859649,1.0,0.9950738916256158,0.12643678160919541,1.0,0.6805970149253732,0.815450643776824,0.0605,0.46086956521739136,1.0
1.0,1.0,0.9879879879879879,0.9240418118466901,0.5157894736842106,0.9619047619047619,1.0,0.1187739463601533,0.6732856598016781,0.3577376276512175,0.96137339055794,0.191,0.8391304347826087,1.0
1.0,1.0,0.9429429429429429,0.9477351916376306,0.23157894736842105,0.9555555555555556,0.8669293924466339,0.2371392081736908,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725
1.0,1.0,0.818720128579283,0.8174315579890494,0.2631578947368421,0.9428571428571428,0.9285714285714286,0.04214559386973185,0.6732856598016781,0.3577376276512175,0.9098712446351932,0.0745,0.8391304347826087,1.0
1.0,1.0,0.9009009009009008,0.9721254355400697,0.25263157894736843,0.9682539682539683,0.9630541871921182,0.09195402298850569,0.6732856598016781,0.3577376276512175,0.8927038626609443,0.0815,0.9217391304347827,1.0
1.0,1.0,0.8768768768768768,0.9853658536585365,0.29265536723163843,0.946031746031746,0.9359605911330049,0.06896551724137934,0.6732856598016781,0.3577376276512175,0.8841201716738197,0.083,0.9217391304347827,1.0
1.0,1.0,0.8738738738738737,0.9874564459930313,0.29265536723163843,0.9523809523809523,0.9433497536945813,0.0651340996168582,0.6732856598016781,0.3577376276512175,0.8755364806866953,0.077,0.9217391304347827,1.0
1.0,1.0,0.8588588588588587,0.9958188153310102,0.2982456140350877,0.9492063492063492,0.9507389162561576,0.04980842911877397,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.0695,0.9217391304347827,1.0
1.0,1.0,0.9189189189189189,0.9602787456445994,0.29265536723163843,0.9555555555555556,0.9507389162561576,0.06130268199233722,0.6732856598016781,0.3577376276512175,0.9270386266094421,0.0885,0.8391304347826087,1.0
1.0,1.0,0.9219219219219219,0.9588850174216029,0.29265536723163843,0.9682539682539683,0.9679802955665024,0.10727969348659006,0.6732856598016781,0.3577376276512175,0.9055793991416308,0.093,0.9217391304347827,1.0
1.0,1.0,0.8978978978978979,0.9728222996515681,0.29265536723163843,0.9523809523809523,0.9458128078817734,0.07662835249042145,0.6732856598016781,0.3577376276512175,0.8884120171673818,0.0865,0.9217391304347827,1.0
1.0,1.0,0.9309309309309308,0.8174315579890494,0.29265536723163843,0.9492063492063492,0.9458128078817734,0.05747126436781609,0.6732856598016781,0.3577376276512175,0.9356223175965666,0.099,0.8391304347826087,1.0
1.0,1.0,0.818720128579283,0.8174315579890494,0.312280701754386,0.946031746031746,0.9458128078817734,0.0651340996168582,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725
1.0,1.0,0.990990990990991,0.9219512195121952,0.24912280701754386,0.9714285714285714,0.9802955665024631,0.08045977011494258,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725
1.0,1.0,0.818720128579283,0.8174315579890494,0.6596491228070176,0.9555555555555556,0.958128078817734,0.07662835249042145,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725
1.0,1.0,0.9069069069069068,0.9679442508710799,0.256140350877193,0.8984126984126984,0.9729064039408867,0.10344827586206894,0.6732856598016781,0.3577376276512175,0.8755364806866953,0.0855,0.8147826086956523,1.0
1.0,1.0,0.9519519519519519,0.943554006968641,0.29265536723163843,0.9682539682539683,0.9679802955665024,0.11111111111111105,0.6732856598016781,0.3577376276512175,0.8798283261802574,0.099,0.8147826086956523,1.0
1.0,1.0,0.9219219219219219,0.959581881533101,0.29265536723163843,0.9587301587301588,0.958128078817734,0.0881226053639847,0.7543859649122807,0.3577376276512175,0.9098712446351932,0.111,0.9217391304347827,1.0
1.0,1.0,0.9519519519519519,0.942857142857143,0.29265536723163843,0.9682539682539683,0.9704433497536946,0.08045977011494258,0.7807017543859649,0.3577376276512175,0.9484978540772532,0.12,0.8391304347826087,1.0
1.0,1.0,0.954954954954955,0.9414634146341465,0.29265536723163843,0.9650793650793651,0.9704433497536946,0.11111111111111105,0.6732856598016781,0.3577376276512175,0.9184549356223176,0.1155,0.9217391304347827,1.0
1.0,1.0,0.818720128579283,0.8174315579890494,0.29265536723163843,0.946031746031746,0.9408866995073891,0.0651340996168582,0.6732856598016781,0.3577376276512175,0.8927038626609443,0.0975,0.9217391304347827,1.0
1.0,1.0,0.8648648648648648,0.9916376306620209,0.37894736842105264,0.9746031746031746,0.9679802955665024,0.0881226053639847,0.8321491228070175,0.3577376276512175,0.8412017167381974,0.0645,0.8147826086956523,1.0
1.0,1.0,0.8918918918918918,0.9763066202090593,0.2807017543859649,0.9777777777777777,0.9753694581280788,0.10344827586206894,0.8321491228070175,0.3577376276512175,0.8583690987124464,0.07,0.8147826086956523,1.0
1.0,1.0,0.8948948948948948,0.9742160278745645,0.2631578947368421,0.9714285714285714,0.9679802955665024,0.09961685823754794,0.8321491228070175,0.3577376276512175,0.8669527896995708,0.0755,0.8147826086956523,1.0
1.0,1.0,1.0,0.9177700348432055,0.624561403508772,0.9650793650793651,0.9802955665024631,0.09578544061302681,0.6732856598016781,0.3577376276512175,1.0,0.141,0.7382608695652174,1.0
1.0,1.0,0.9459459459459459,0.9463414634146342,0.23508771929824562,0.9428571428571428,0.9458128078817734,0.06130268199233722,0.6732856598016781,0.3577376276512175,0.9699570815450642,0.119,0.7382608695652174,1.0
1.0,1.0,0.8858858858858858,0.9804878048780487,0.4245614035087719,0.9079365079365079,0.8990147783251231,0.0,0.6732856598016781,0.3577376276512175,0.96137339055794,0.1045,0.7382608695652174,1.0
1.0,1.0,0.993993993993994,0.9205574912891987,0.3017543859649123,0.9714285714285714,0.9827586206896551,0.0881226053639847,0.6732856598016781,0.3577376276512175,0.9828326180257511,0.134,0.7382608695652174,1.0
1.0,1.0,0.818720128579283,0.8174315579890494,0.29265536723163843,0.946031746031746,0.9433497536945813,0.06130268199233722,0.6732856598016781,0.3577376276512175,0.9527896995708155,0.101,1.0,1.0
1.0,1.0,0.8768768768768768,0.9846689895470384,0.23859649122807017,0.9238095238095239,0.9137931034482759,0.0344827586206896,0.6732856598016781,0.3577376276512175,0.9313304721030042,0.094,1.0,1.0
1.0,1.0,0.8528528528528527,1.0,0.28771929824561404,0.9142857142857143,0.896551724137931,0.011494252873563244,0.6732856598016781,0.3577376276512175,0.9184549356223176,0.0825,1.0,1.0
1.0,1.0,0.9429429429429429,0.9477351916376306,0.24912280701754386,0.9587301587301588,0.9605911330049262,0.06130268199233722,0.6732856598016781,0.3577376276512175,0.96137339055794,0.1115,1.0,1.0
1.0,1.0,0.9459459459459459,0.9456445993031358,0.29265536723163843,0.9619047619047619,0.9679802955665024,0.09578544061302681,0.6732856598016781,0.3577376276512175,0.9270386266094421,0.106,0.8147826086956523,1.0
1.0,1.0,0.8798798798798798,0.983275261324042,0.21052631578947367,0.9365079365079365,0.9285714285714286,0.04980842911877397,0.6732856598016781,0.3577376276512175,0.9098712446351932,0.0915,0.8147826086956523,1.0
1.0,1.0,0.9009009009009008,0.9714285714285713,0.2631578947368421,0.9365079365079365,0.9285714285714286,0.04214559386973185,0.6732856598016781,0.3577376276512175,0.9399141630901287,0.102,1.0,1.0
1.0,1.0,0.9639639639639639,0.9358885017421603,0.30526315789473685,0.9650793650793651,0.9704433497536946,0.07279693486590033,0.6732856598016781,0.3577376276512175,0.9656652360515021,0.1215,1.0,1.0
